imdb_id,has_poster,poster_path
tt2637294,1,/tQtWuwvMf0hCc2QR2tkolwl7c3c.jpg
tt0368933,1,/w9Z7A0GHEhIp7etpj0vyKOeU1Wx.jpg
tt2582802,1,/lIv1QinFqz4dlp5U4lQ6HaiskOZ.jpg
tt1821480,1,/aTXRaPrWSinhcmCrcfJK17urp3F.jpg
tt1380152,1,/m22s7zvkVFDU9ir56PiiqIEWFdT.jpg
tt0093743,1,/6IDqA1D2NBIVhzEEaMMRL28iBrq.jpg
tt0431021,1,/4QjzFuaZmB4btGnLwAgdp23BzIU.jpg
tt0391024,1,/83BV8fGy5p9i8RwE9oj76tZ1Ikp.jpg
tt0117110,1,/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg
tt0310281,1,/xwD4EsPOGLuKP50Q1gwqAsyhAFB.jpg
tt0075148,1,/i5xiwdSsrecBvO7mIfAJixeEDSg.jpg
tt0093857,1,/1KTi0wJQfyi8YnAjuP1xQ0Hr9m4.jpg
tt0169547,1,/or1MP8BZIAjqWYxPdPX724ydKar.jpg
tt0377471,1,/ekKCH7Zkb5ZTr1f1AczZY23FH.jpg
tt0181689,1,/h3lpltSn7Rj1eYTPQO1lYGdw4Bz.jpg
tt1129437,1,/88l8VBanH0lS5Wvzu2qgkGcsfQi.jpg
tt0421239,1,/rTDa8Ald7iiES01zJJkcM9ikd0l.jpg
tt1700845,1,/cIMdqerF4DuVEYnkSQPWLc9qAc2.jpg
tt1487118,1,/64AQrBEKJVSIRaocOCtkMqExToz.jpg
tt0388482,1,/bZKkwfQf4mHYlNbmViNjmAN60zY.jpg
tt0120738,1,/kkBDPkUnYwAkWbYY2bnyf5ANObA.jpg
tt0083972,1,/5wg2NZyIhcMbIBAahBODXHyJ54S.jpg
tt2105044,1,/yo49x6Jhr1ecCjy1ByFqwAbtARJ.jpg
tt1687277,1,/7oJksA5Bi7UdrVZhudIg6GaHpRz.jpg
tt0779982,1,/8YoL8WSHv7UKTq7iziI7SrRmdql.jpg
tt0104139,1,/5JDLNXWiSCVRLur0oziJk6q5VVk.jpg
tt0120176,1,/cwkWlWfFrvH6WW6ovX5gfGHo7ks.jpg
tt1486834,1,/g5vPBCJbBX36oikg68brcl7PU5a.jpg
tt0092106,1,/yGuQ2lz41EgjbnPeimXR9klTOoq.jpg
tt0264472,1,/dCTVH1kl3aIkUmWpMT5STLAwsPs.jpg
tt1675434,1,/4mFsNQwbD0F237Tx7gAPotd0nbJ.jpg
tt0387898,1,/i1Zl8S4DgM3IDLW5dhZzBnIdCOe.jpg
tt1618442,1,/xw1GFKzxjgfm3dQoK1swFcHmfaC.jpg
tt2926810,1,/npN4yjO7MLg1ouMUF4VZ87ChiO1.jpg
tt0293564,1,/qgaDWYLrnEPJpc5Lp35WbgX7GfS.jpg
tt1656190,1,/eoiqqDHohBCDwFWQOvczUeNoixK.jpg
tt0199314,1,/w0WvlhjBRKMKcmaMoca57ofIvCH.jpg
tt0114069,1,/4KymNvlWR0XF0sqX2BWRd9Z3yXR.jpg
tt2710368,1,/4VYYvaHtnrQcxQGLaDFRLxCEpyw.jpg
tt0059418,1,/bwLMwKun3RNn9rmcfMfJw11ofNh.jpg
tt0380268,1,/1Kqwllyvr4n3rLMvH2K17bavxT3.jpg
tt0061512,1,/vDwphkloD7ToaDpKASAXGgHOclN.jpg
tt0156841,1,/9GzP7WODLwpwxl8WaVpziI68w2n.jpg
tt2933544,1,/5S3K1vpIYhFu5pJU4sxv95kTHxd.jpg
tt0372532,1,/A2m90ko1FCnJqEkpbHwMq3BDgx6.jpg
tt1379222,1,/paPqh4ERDdVMecAIvhxqBacfFNy.jpg
tt0438097,1,/isRuztu5Ch7FJdtSBLcG8QSOpEI.jpg
tt3460252,1,/fqe8JxDNO8B8QfOGTdjh6sPCdSC.jpg
tt1781058,1,/m63h5MxevYrKn3720hVgKZAx86S.jpg
tt0111280,1,/wjrXjlNpDq9U8vYmAwf420yDFtn.jpg
tt0948530,1,/bDZSLsqrpUhdjSVXYGKwiOrLlEb.jpg
tt0059243,1,/nc6FRAVC4a8o4podiFy2P5qI9ul.jpg
tt0081031,1,/undK2bf6ntIt7gTMjX9KkzeXSTU.jpg
tt0095169,1,/h413LQAMIwYyyw8lJffMpDcyC5A.jpg
tt3231054,1,/cr8lQd94bxlhyDfimweUMnLZoxf.jpg
tt0108186,1,/zVnzFkQqcPC1uxhAuIaWx4H0kEO.jpg
tt1082009,1,/qF1FUaqh6GPN5xXp030op4r5O26.jpg
tt0118688,1,/79AYCcxw3kSKbhGpx1LiqaCAbwo.jpg
tt0476991,1,/sE3Tn6B8tfbDk7ctFzHLH082r43.jpg
tt0278295,1,/MnD3ueM3Kh6mxTT9oqw9fhxSzd.jpg
tt0381061,1,/zlWBxz2pTA9p45kUTrI8AQiKrHm.jpg
tt0049875,1,/tAExVSQUlby56ATBlMnA2BrbA25.jpg
tt0119099,1,/v66GrbKcl1babq8BebUff0MI3m4.jpg
tt0097388,1,/oAZTwZDHu56IUyq5OQM3q1xX9To.jpg
tt1821549,1,/zyG3vYWK7SwWT4bvrWeFef0J7fp.jpg
tt0092675,1,/E4d48dFICxN1tcGywt1p5zBHYJ.jpg
tt1220888,1,/yPdR0BqNuOY9agZKNgBd5FsVoC6.jpg
tt2852400,1,/4GLC8nPHn4zCGF7rdKyvMa5lMyj.jpg
tt0056592,1,/gQg6sPYfNTUlf8wEtydzWl09RyR.jpg
tt0463985,1,/f9V0iTSYwnxW6tPIjSE7jrGC7eP.jpg
tt0366627,1,/ts5hSSpgHEcPFpdfk6gmLLgx5k4.jpg
tt0318462,1,/uNMLsBv48WwIohS7n5DVe1fsFcb.jpg
tt0099329,1,/wuvick59KjsA6LCM7KWLO4fmwXj.jpg
tt0402906,1,/ulCXkKsAiT3kkhUnQ5KnslvEC5K.jpg
tt0074706,1,/azK2v3mfQz8BXyhzQvSBQVfVnTQ.jpg
tt1438176,1,/6bpthoORc53b2SEG3JwFBRZQnT5.jpg
tt0242572,1,/AnhaX3iivU7aLc6fLuAuHXTsbgO.jpg
tt0080487,1,/tv6s71pj8mhHtfk6DaSxMlu9pd7.jpg
tt0083064,1,/unpEPbhTSyPPQhHvzTRiXvUwtHd.jpg
tt3835080,1,/rpxbMjrq4CDPY30dTRbvdQsUcud.jpg
tt0279331,1,/6wQUfEwMHgSBTFpmTCzkvdXSq7U.jpg
tt0338427,1,/o8cHf3J34IMJtg6XdX9wSkjvw39.jpg
tt0397101,1,/kP7s8PGey0E36JaFoFq2d3gRKNY.jpg
tt0086837,1,/9Rcz2n16HEYRi2EKGliByP6ESYR.jpg
tt1767382,1,/bHC30EkfgFQ4p8hdXj3OVw1QTsL.jpg
tt0112715,1,/wjeQaiAApgzdipkNXhQnBrqjBY9.jpg
tt0079417,1,/oyYtH37h8rLUxlERoD49losVvlg.jpg
tt0113326,1,/y7AxKPPCtZyrGQKvxzn5zTQ8wFm.jpg
tt1730768,1,/50KGpMiIvSkF4WHOgp0gM6r6sMU.jpg
tt0108185,1,/tTknufUur6nxMHEAR3iZ71kJXHt.jpg
